ARTICLE,ID
Bread,96619
Milk,96619
Sugar,96619
Bread,96618
Tea,96617
Bread,96616
Sugar,96616
Bread,96615
Coffee,96614
Tea,96614
Tea,96613
Tea,96612
Bread,96611
Milk,96611
Tea,96611
Bread,96610
Beer,96609
Tea,96608
Sugar,96607
Beer,96606
Coffee,96605
Beer,96604
Fruits,96603
Milk,96602
Tea,96602
Beer,96601
Milk,96600
Sugar,96600
Tea,96599
Bread,96598
Sugar,96597
Bread,96596
Fruits,96596
Tea,96595
Bread,96594
Tea,96594
Bread,96593
Sugar,96592
Fruits,96591
Milk,96590
Tea,96590
Fruits,96589
Bread,96588
Beer,96587
Bread,96586
Milk,96586
Sugar,96586
Sugar,96585
Sugar,96584
Fruits,96583
Bread,96582
Fruits,96582
Milk,96582
Tea,96582
Bread,96581
Tea,96581
Beer,96580
Milk,96580
Bread,96579
Bread,96578
Milk,96578
Sugar,96578
Tea,96573
Tea,96572
Tea,96569
Tea,96568
Tea,96564
Tea,96563
Tea,96559
Tea,96558
Tea,96555
Tea,96554
Tea,96548
Tea,96538
Tea,96537
Tea,96524
Tea,96522
Tea,96521
Tea,96387
Tea,96386
Tea,96385
Bread,96384
Tea,96384
Bread,96383
Tea,96382
Bread,96381
Sugar,96381
Bread,96380
Sugar,96380
Bread,96379
Tea,96379
Tea,96378
Milk,96377
Tea,96376
Bread,96375
Sugar,96375
Tea,96374
Tea,96373
Bread,96372
Coffee,96372
Sugar,96372
Bread,96371
Tea,96371
Tea,96370
Tea,96369
Tea,96368
Milk,96367
Sugar,96367
Tea,96366
Coffee,96365
Bread,96364
Milk,96364
Sugar,96364
Tea,96363
Sugar,96363
Fruits,96362
Milk,96362
Sugar,96362
Fruits,96361
Milk,96361
Bread,96360
Bread,96359
Bread,96358
Milk,96358
Tea,96358
Sugar,96358
Fruits,96357
Tea,96356
Milk,96355
Bread,96354
Fruits,96354
Tea,96354
Vegetables,96353
Milk,96352
Sugar,96352
Milk,96351
Sugar,96351
Tea,96350
Bread,96349
Tea,96348
Bread,96347
Milk,96347
Tea,96347
Sugar,96347
Tea,96346
Bread,96345
Bread,96344
Bread,96343
Sugar,96342
Tea,96341
Bread,96340
Vegetables,96340
Tea,96339
Bread,96338
Milk,96337
Sugar,96337
Tea,96336
Milk,96335
Sugar,96335
Coffee,96334
Milk,96333
Tea,96333
Sugar,96333
Bread,96332
Tea,96332
Sugar,96332
Bread,96331
Tea,96331
Milk,96330
Tea,96329
Sugar,96328
Milk,96327
Bread,96326
Milk,96326
Tea,96326
Sugar,96326
Sugar,96325
Milk,96324
Sugar,96324
Milk,96323
Bread,96322
Beer,96322
Tea,96322
Milk,96321
Bread,96320
Coffee,96320
Milk,96320
Tea,96320
Sugar,96320
Tea,96319
Tea,96318
Bread,96317
Milk,96317
Coffee,96316
Sugar,96316
Tea,96315
Bread,96314
Bread,96313
Bread,96312
Fruits,96312
Milk,96312
Beer,96311
Beer,96310
Milk,96310
Tea,96309
Tea,96308
Beer,96307
Tea,96307
Fruits,96306
Beer,96306
Coffee,96305
Tea,96305
Tea,96304
Bread,96303
Tea,96303
Milk,96302
Tea,96301
Bread,96300
Beer,96299
Bread,96298
Coffee,96298
Bread,96297
Tea,96297
Sugar,96297
Bread,96296
Tea,96296
Sugar,96295
Tea,96294
Tea,96293
Tea,96292
Sugar,96292
Tea,96291
Beer,96290
Tea,96290
Sugar,96290
Coffee,96289
Tea,96288
Bread,96287
Milk,96286
Tea,96285
Milk,96284
Bread,96283
Fruits,96283
Milk,96283
Sugar,96283
Bread,96282
Tea,96282
Tea,96281
Milk,96280
Sugar,96280
